record_date,classification_desc,current_month_budget_amt,current_fytd_budget_amt,prior_fytd_budget_amt
2026-03-31,Off-Budget Outlays,136782628212.31,748645803220.91,698971246268.99
2026-03-31,Total Surplus (+) or Deficit (-),-164100338817.86,-1168578964500.96,-1307130216693.30
2026-03-31,On-Budget Surplus (+) or Deficit (-),-146870111351.32,-1071644855403.25,-1225142203274.32
2026-03-31,Off-Budget Surplus (+) or Deficit (-),-17230227466.54,-96934109097.71,-81988013418.98
2026-03-31,Means of Financing:,null,null,null
2026-03-31,"Reduction of Operating Cash, Increase (-)",-94057279204.09,-2174740545.53,479939562513.76
2026-03-31,By Other Means,14134871627.82,78101580873.13,220416754887.93
2026-03-31,Total On-Budget and Off-Budget Results:,null,null,null
2026-03-31,Total Receipts,384862577035.79,2482793247535.73,2260302701780.18
2026-03-31,On-Budget Receipts,265310176290.02,1831081553412.53,1643319468930.17
2026-03-31,Off-Budget Receipts,119552400745.77,651711694123.20,616983232850.01
2026-03-31,Total Outlays,548962915853.65,3651372212036.69,3567432918473.48
2026-03-31,On-Budget Outlays,412180287641.34,2902726408815.78,2868461672204.49
2026-03-31,Total On-Budget and Off-Budget Financing,164100338817.86,1168578964500.96,1307130216693.30
2026-03-31,Borrowing from the Public,244022746394.13,1092652124173.36,606773899291.61
2026-02-28,Total On-Budget and Off-Budget Results:,null,null,null
2026-02-28,Off-Budget Outlays,136493859165.54,611863175008.60,555551876790.32
2026-02-28,Total Receipts,313121685246.84,2097930670499.94,1892657270836.86
2026-02-28,By Other Means,-53703642652.58,63966709245.31,215684944716.69
2026-02-28,On-Budget Surplus (+) or Deficit (-),-279168574260.63,-924774744051.93,-1095238662686.32
2026-02-28,Off-Budget Surplus (+) or Deficit (-),-28332859165.54,-79703881631.17,-51363232507.62
2026-02-28,Total On-Budget and Off-Budget Financing,307501433426.17,1004478625683.10,1146601895193.94
2026-02-28,Means of Financing:,null,null,null
2026-02-28,Borrowing from the Public,266902563923.40,848629377779.23,604773721013.08
2026-02-28,"Reduction of Operating Cash, Increase (-)",94302512155.35,91882538658.56,326143229464.17
2026-02-28,On-Budget Receipts,204960685246.84,1565771377122.51,1388468626554.16
2026-02-28,Off-Budget Receipts,108161000000.00,532159293377.43,504188644282.70
2026-02-28,Total Outlays,620623118673.01,3102409296183.04,3039259166030.80
2026-02-28,On-Budget Outlays,484129259507.47,2490546121174.44,2483707289240.48
2026-02-28,Total Surplus (+) or Deficit (-),-307501433426.17,-1004478625683.10,-1146601895193.94
2026-01-31,Total On-Budget and Off-Budget Results:,null,null,null
