record_date,classification_desc,current_month_gross_rcpt_amt,current_month_gross_outly_amt,current_month_dfct_sur_amt
2026-03-31,April,850169317772.81,591769368657.85,-258399949114.96
2026-03-31,May,371228857110.76,686880598492.67,315651741381.91
2026-03-31,June,526445351756.97,499435701746.96,-27009650010.01
2026-03-31,July,338491848423.17,629634508710.84,291142660287.67
2026-03-31,August,344315322010.32,689107213868.44,344791891858.12
2026-03-31,September,543663073176.70,345725351899.02,-197937721277.68
2026-03-31,FY 2026,null,null,null
2026-03-31,October,731141585031.80,1272924365997.38,541782780965.58
2026-03-31,November,637756019969.77,1177796030340.37,540040010370.60
2026-03-31,December,938798724030.72,1170282453810.44,231483729779.72
2026-03-31,January,1073346243235.10,1296601612277.80,223255369042.70
2026-03-31,February,609545369069.41,1224063999787.85,614518630718.44
2026-03-31,March,752508007979.11,1077136668296.33,324628660317.22
2026-03-31,Year-to-Date,7717409719566.64,10661357873885.95,2943948154319.31
2026-03-31,FY 2025,null,null,null
2026-02-28,May,371228857110.76,686880598492.67,315651741381.91
2026-02-28,June,526445351756.97,499435701746.96,-27009650010.01
2026-02-28,July,338491848423.17,629634508710.84,291142660287.67
2026-02-28,August,344315322010.32,689107213868.44,344791891858.12
2026-02-28,September,543663073176.70,345725351899.02,-197937721277.68
2026-02-28,FY 2026,null,null,null
2026-02-28,Year-to-Date,7332547142530.85,10112394958032.30,2779847815501.45
2026-02-28,FY 2025,null,null,null
2026-02-28,October,731141585031.80,1272924365997.38,541782780965.58
2026-02-28,November,637756019969.77,1177796030340.37,540040010370.60
2026-02-28,December,938798724030.72,1170282453810.44,231483729779.72
2026-02-28,January,1073346243235.10,1296601612277.80,223255369042.70
2026-02-28,February,609545369069.41,1224063999787.85,614518630718.44
2026-02-28,March,367645430943.32,528173752442.68,160528321499.36
2026-02-28,April,850169317772.81,591769368657.85,-258399949114.96
2026-01-31,FY 2025,null,null,null
2026-01-31,February,296423683822.57,603440881114.84,307017197292.27
2026-01-31,March,367645430943.32,528173752442.68,160528321499.36
2026-01-31,April,850169317772.81,591769368657.85,-258399949114.96
2026-01-31,May,371228857110.76,686880598492.67,315651741381.91
2026-01-31,June,526445351756.97,499435701746.96,-27009650010.01
2026-01-31,July,338491848423.17,629634508710.84,291142660287.67
2026-01-31,August,344315322010.32,689107213868.44,344791891858.12
2026-01-31,September,543663073176.70,345725351899.02,-197937721277.68
2026-01-31,FY 2026,null,null,null
2026-01-31,October,731141585031.80,1272924365997.38,541782780965.58
2026-01-31,November,637756019969.77,1177796030340.37,540040010370.60
2026-01-31,December,938798724030.72,1170282453810.44,231483729779.72
2026-01-31,January,1073229788582.64,1296485157625.34,223255369042.70
2026-01-31,Year-to-Date,7019309002631.55,9491655384706.83,2472346382075.28
2025-12-31,FY 2025,null,null,null
2025-12-31,January,513294342651.93,641934549325.42,128640206673.49
2025-12-31,February,296423683822.57,603440881114.84,307017197292.27
2025-12-31,March,367645430943.32,528173752442.68,160528321499.36
2025-12-31,April,850169317772.81,591769368657.85,-258399949114.96
2025-12-31,May,371228857110.76,686880598492.67,315651741381.91
2025-12-31,June,526445351756.97,499435701746.96,-27009650010.01
2025-12-31,July,338491848423.17,629634508710.84,291142660287.67
2025-12-31,August,344315322010.32,689107213868.44,344791891858.12
2025-12-31,September,543663073176.70,345725351899.02,-197937721277.68
2025-12-31,FY 2026,null,null,null
2025-12-31,October,731141585031.80,1272941672781.81,541800087750.01
2025-12-31,November,637756019969.77,1177796030340.37,540040010370.60
2025-12-31,December,938798724030.72,1170279578653.29,231480854622.57
2025-12-31,Year-to-Date,6459373556700.84,8837119208034.19,2377745651333.35
2025-11-30,February,296423683822.57,603440881114.84,307017197292.27
2025-11-30,March,367645430943.32,528173752442.68,160528321499.36
2025-11-30,April,850169317772.81,591769368657.85,-258399949114.96
2025-11-30,FY 2025,null,null,null
2025-11-30,November,637755495522.75,1177795505847.35,540040010324.60
2025-11-30,December,454414708491.47,541146327504.76,86731619013.29
2025-11-30,January,513294342651.93,641934549325.42,128640206673.49
2025-11-30,May,371228857110.76,686880598492.67,315651741381.91
2025-11-30,June,526445351756.97,499435701746.96,-27009650010.01
2025-11-30,July,338491848423.17,629634508710.84,291142660287.67
2025-11-30,August,344315322010.32,689107213868.44,344791891858.12
2025-11-30,September,543663073176.70,345725351899.02,-197937721277.68
2025-11-30,Year-to-Date,5974989016714.57,8207985432392.64,2232996415678.07
2025-11-30,FY 2026,null,null,null
2025-11-30,October,731141585031.80,1272941672781.81,541800087750.01
2025-10-31,September,543663073176.70,345731577774.63,-197931495402.07
2025-10-31,Year-to-Date,5638987821004.61,7698713287481.37,2059725466476.76
2025-10-31,FY 2026,null,null,null
2025-10-31,FY 2025,null,null,null
2025-10-31,October,731141585031.80,1272941672781.81,541800087750.01
2025-10-31,November,301754299812.79,668517135060.47,366762835247.68
2025-10-31,December,454414708491.47,541146327504.76,86731619013.29
2025-10-31,January,513294342651.93,641934549325.42,128640206673.49
2025-10-31,February,296423683822.57,603440881114.84,307017197292.27
2025-10-31,March,367645430943.32,528173752442.68,160528321499.36
2025-10-31,April,850169317772.81,591769368657.85,-258399949114.96
2025-10-31,May,371228857110.76,686880598492.67,315651741381.91
2025-10-31,June,526445351756.97,499435701746.96,-27009650010.01
2025-10-31,July,338491848423.17,629634508710.84,291142660287.67
2025-10-31,August,344315322010.32,689107213868.44,344791891858.12
2025-09-30,FY 2025,null,null,null
2025-09-30,FY 2024,null,null,null
2025-09-30,April,1626367410949.75,1158438155209.46,-467929255740.29
2025-09-30,May,694875844089.16,1357658479162.72,662782635073.56
2025-09-30,June,992700270164.13,1036655912630.46,43955642466.33
2025-09-30,July,668869276723.26,1203753024308.36,534883747585.10
2025-09-30,September,1070652579214.90,792414150539.17,-278238428675.73
2025-09-30,Year-to-Date,10152721911830.28,13744869392192.36,3592147480362.08
2025-09-30,October,730203776977.90,1054217365074.84,324013588096.94
2025-09-30,November,576584335593.94,1257359173128.71,680774837534.77
